season,round,event,session,n_drivers,n_laps,n_accurate,pct_accurate,n_no_laptime,ghost_drivers,compounds,median_lap_s,ok,note
2026,1,Australian Grand Prix,FP1,21,487,286,58.7,93,,"HARD,MEDIUM,SOFT",86.393,True,
2026,1,Australian Grand Prix,FP2,22,544,345,63.4,86,,"HARD,MEDIUM,SOFT",85.791,True,
2026,1,Australian Grand Prix,FP3,21,377,197,52.3,94,,"HARD,MEDIUM,SOFT",84.182,True,
2026,1,Australian Grand Prix,Q,20,353,165,46.7,107,,"MEDIUM,SOFT",81.408,True,
2026,1,Australian Grand Prix,R,20,1006,835,83.0,6,,"HARD,MEDIUM,SOFT",84.876,True,
2026,2,Chinese Grand Prix,FP1,22,540,327,60.6,108,,"MEDIUM,SOFT",99.24,True,
2026,2,Chinese Grand Prix,SQ,21,257,162,63.0,49,,"MEDIUM,SOFT",95.92,True,
2026,2,Chinese Grand Prix,S,22,397,296,74.6,35,,"HARD,MEDIUM,SOFT",99.078,True,
2026,2,Chinese Grand Prix,Q,22,325,126,38.8,93,,"MEDIUM,SOFT",94.021,True,
2026,2,Chinese Grand Prix,R,18,920,816,88.7,16,,"HARD,MEDIUM,SOFT",98.131,True,
2026,3,Japanese Grand Prix,FP1,22,529,347,65.6,101,,"HARD,MEDIUM,SOFT",97.031,True,
2026,3,Japanese Grand Prix,FP2,22,547,345,63.1,118,,"HARD,MEDIUM,SOFT",96.424,True,
2026,3,Japanese Grand Prix,FP3,22,436,244,56.0,93,,"MEDIUM,SOFT",94.45,True,
2026,3,Japanese Grand Prix,Q,22,324,127,39.2,97,,SOFT,90.648,True,
2026,3,Japanese Grand Prix,R,22,1107,923,83.4,21,,"HARD,MEDIUM,SOFT",95.315,True,
2026,4,Miami Grand Prix,FP1,22,757,499,65.9,147,,"HARD,MEDIUM,SOFT",94.731,True,
2026,4,Miami Grand Prix,SQ,22,237,119,50.2,71,,"MEDIUM,SOFT",90.988,True,
2026,4,Miami Grand Prix,S,20,380,358,94.2,20,,"HARD,MEDIUM,SOFT",94.189,True,
2026,4,Miami Grand Prix,Q,22,324,116,35.8,121,,"MEDIUM,SOFT",89.683,True,
2026,4,Miami Grand Prix,R,22,1040,858,82.5,7,,"HARD,MEDIUM,SOFT",94.312,True,
2026,5,Canadian Grand Prix,FP1,22,619,394,63.7,111,,"HARD,MEDIUM,SOFT",79.227,True,
2026,5,Canadian Grand Prix,SQ,20,300,192,64.0,62,,"MEDIUM,SOFT",83.456,True,
2026,5,Canadian Grand Prix,S,22,491,457,93.1,24,,"HARD,MEDIUM,SOFT",76.515,True,
2026,5,Canadian Grand Prix,Q,22,456,275,60.3,91,,"SOFT,UNKNOWN",84.881,True,
2026,5,Canadian Grand Prix,R,21,1211,1045,86.3,5,,"HARD,INTERMEDIATE,MEDIUM,SOFT",77.102,True,
2026,6,Monaco Grand Prix,FP1,22,620,456,73.5,75,,"HARD,MEDIUM,SOFT",81.516,True,
2026,6,Monaco Grand Prix,FP2,22,711,494,69.5,86,,"MEDIUM,SOFT",80.084,True,
2026,6,Monaco Grand Prix,FP3,22,518,358,69.1,71,,SOFT,81.222,True,
2026,6,Monaco Grand Prix,Q,22,484,288,59.5,81,,SOFT,78.647,True,
2026,6,Monaco Grand Prix,R,22,1452,1177,81.1,37,,"HARD,MEDIUM,SOFT",78.754,True,
2026,7,Barcelona Grand Prix,FP1,21,544,319,58.6,92,,"HARD,MEDIUM,SOFT",82.601,True,
2026,7,Barcelona Grand Prix,FP2,22,586,343,58.5,99,,"HARD,MEDIUM,SOFT",83.191,True,
2026,7,Barcelona Grand Prix,FP3,22,337,131,38.9,114,,"MEDIUM,SOFT",79.998,True,
2026,7,Barcelona Grand Prix,Q,22,255,78,30.6,104,,"MEDIUM,SOFT",76.407,True,
2026,7,Barcelona Grand Prix,R,22,1236,1035,83.7,3,,"HARD,MEDIUM,SOFT",83.687,True,
2026,8,Austrian Grand Prix,FP1,22,500,308,61.6,99,,"HARD,MEDIUM,SOFT",72.631,True,
2026,8,Austrian Grand Prix,FP2,22,631,384,60.9,96,,"HARD,MEDIUM,SOFT",72.793,True,
2026,8,Austrian Grand Prix,FP3,22,464,234,50.4,86,,"HARD,MEDIUM,SOFT",71.419,True,
2026,8,Austrian Grand Prix,Q,22,289,92,31.8,111,,SOFT,67.601,True,
2026,8,Austrian Grand Prix,R,22,1339,1164,86.9,1,,"HARD,MEDIUM,SOFT",72.852,True,
2026,9,British Grand Prix,FP1,22,613,392,63.9,120,,"HARD,MEDIUM,SOFT",94.694,True,
2026,9,British Grand Prix,SQ,22,236,109,46.2,73,,"MEDIUM,SOFT",90.56,True,
2026,9,British Grand Prix,S,22,372,346,93.0,22,,"MEDIUM,SOFT",94.221,True,
2026,9,British Grand Prix,Q,22,309,102,33.0,116,,"MEDIUM,SOFT",89.968,True,
2026,9,British Grand Prix,R,22,1113,856,76.9,21,,"HARD,MEDIUM,SOFT",95.448,True,
2026,10,Belgian Grand Prix,FP1,22,486,246,50.6,185,,"HARD,MEDIUM,SOFT",112.383,True,
2026,10,Belgian Grand Prix,FP2,22,394,142,36.0,211,,"MEDIUM,SOFT",110.925,True,
2026,10,Belgian Grand Prix,FP3,22,417,198,47.5,168,,"MEDIUM,SOFT,UNKNOWN",110.55,True,
2026,10,Belgian Grand Prix,Q,22,269,89,33.1,105,,SOFT,106.392,True,
2026,10,Belgian Grand Prix,R,22,872,703,80.6,62,,"HARD,MEDIUM,SOFT",111.843,True,
